YEAR,MONTH,U.S._STATE,POSTAL.CODE,NERC.REGION,CLIMATE.REGION,OUTAGE.START.DATE,OUTAGE.START.TIME,OUTAGE.RESTORATION.DATE,OUTAGE.RESTORATION.TIME,CAUSE.CATEGORY,CAUSE.CATEGORY.DETAIL,OUTAGE.DURATION,DEMAND.LOSS.MW,CUSTOMERS.AFFECTED
2008,12,California,CA,WECC,West,2008-12-19,01:02:00,2008-12-19,18:17:00,islanding,,1035.0,1.0,638.0
2014,5,California,CA,WECC,West,2014-05-16,10:43:00,2014-05-16,21:00:00,severe weather,wildfire,617.0,3900.0,1400000.0
2007,4,California,CA,WECC,West,2007-04-12,00:32:00,2007-04-12,21:02:00,severe weather,heavy wind,1230.0,200.0,158977.0
2004,2,California,CA,WECC,West,2004-02-17,14:25:00,2004-02-17,23:57:00,severe weather,thunderstorm,572.0,220.0,
2014,2,California,CA,WECC,West,2014-02-06,14:15:00,2014-02-06,19:39:00,fuel supply emergency, Natural Gas,324.0,611.0,
2001,1,California,CA,WECC,West,2001-01-20,08:15:00,2001-01-21,14:50:00,system operability disruption,,1835.0,300.0,
2002,12,California,CA,WECC,West,2002-12-14,11:00:00,2002-12-19,04:00:00,severe weather,winter storm,6780.0,180.0,1500000.0
2009,6,California,CA,WECC,West,2009-06-16,23:00:00,2009-06-17,14:00:00,fuel supply emergency,,900.0,300.0,
2014,5,California,CA,WECC,West,2014-05-15,10:43:00,,,severe weather,wildfire,,3300.0,1400000.0
2007,10,California,CA,WECC,West,2007-10-22,14:06:00,2007-10-22,14:43:00,severe weather,wildfire,37.0,199.0,68780.0
2015,12,California,CA,WECC,West,2015-12-10,06:01:00,2015-12-10,07:13:00,severe weather,,72.0,29.0,9956.0
2015,5,California,CA,WECC,West,2015-05-11,08:32:00,2015-05-11,08:33:00,intentional attack,sabotage,1.0,0.0,0.0
2010,11,California,CA,WECC,West,2010-11-23,14:01:00,2010-11-23,18:12:00,islanding,,251.0,22.0,7077.0
