Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Electrical System Separation (Islanding),2010,2010-09-01,10:20 a.m.,2010-09-01,12:44 PM,Pacific Gas and Electric,"Pittsburg (Bay Area), California",WECC,31,"15,000",islanding
Fuel Supply Deficiency (Hydro),2010,2010-08-02,12:00 p.m.,2010-08-02,11:00 PM,California Department of Waters Resources,Central California,WECC,,,"fuel supply emergency, hydro"
"Shed Interruptible Load, Wildfire",2010,2010-07-29,6:39 p.m.,2010-07-29,7:26 PM,Southern California Edison Company,Southern California,WECC,522,,"load shedding, wild fire"
"Shed Interruptible Load, Wildfire",2010,2010-07-29,6:39 p.m.,2010-07-29,7:26 PM,California Independent System Operator,Southern California,WECC,522,,"load shedding, wild fire"
Electrical System Separation,2010,2010-06-25,11:36 p.m.,2010-06-26,1:38 AM,Pacific Gas and Electric,Northern California,WECC,,,islanding
Severe Weather,2010,2010-06-23,5:00 p.m.,2010-06-25,1:40 PM,Commonwealth Edison,"Chicago, IL",RFC,,"300,000",severe weather
Severe Weather,2010,2010-06-18,4:00 p.m.,2010-06-20,1:00 PM,Commonwealth Edison,"Chicago, IL",RFC,,"400,000",severe weather
Electric System Separation,2010,2010-06-06,4:45 a.m.,2010-06-06,5:35 AM,Pacific Gas and Electric,Northern California,WECC,3,"2,650",islanding
Breakers Tripped,2010,2010-05-18,8:15 a.m.,2010-05-18,10:46 PM,California Department of Water Resources,Central California,WECC,318,,breaker trip
Firm System Load Shed,2010,2010-02-19,8:30 p.m.,2010-02-20,4:01 AM,California Department of Water Resources,"San Joaquin Field Division/Bakersfield, CA",WECC,"1,000",,load shedding
Winter Storm,2010,2010-02-06,2:30 a.m.,2010-02-07,7:00 AM,Dominion,"Virginia, North Carolina",SERC,600,"104,736","severe weather, winter storm"
Winter Storm,2010,2010-02-05,6:48 p.m.,2010-02-07,5:00 PM,Duke Energy Carolinas,North and South Carolina,SERC,500,"74,000","severe weather, winter storm"
Severe Storm,2010,2010-01-20,1:00 p.m.,2010-01-24,6:10 PM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,,"147,223","severe weather, storm"
Severe Storm,2010,2010-01-18,11:30 a.m.,2010-01-28,8:00 AM,Pacific Gas and Electric Company,Northern and Central California,WECC,290,"1,700,000","severe weather, storm"
Severe Weather,2009,2009-12-18,10:55 p.m.,2009-12-19,11:15 p.m.,Progress Energy Carolinas Inc,Western North Carolina,SERC,,"47,000",severe weather
Load Shed/Made Public Appeals,2009,2009-12-08,6:34 a.m.,2009-12-08,12:00 p.m.,California Independent System Operator,California,WECC,,,"load shedding, public appeal"
Forced Outage Equipment Failure,2009,2009-12-07,10:00 p.m.,2009-12-08,4:00 a.m.,California Department of Water Resources,California,WECC,400,,equipment failure
Switching Failure,2009,2009-11-18,6:15 a.m.,2009-11-18,10:00 a.m.,California Dept of Water Resources,"Central Valley, CA",WECC,630,,equipment failure
Tropical Storm Ida,2009,2009-11-12,6:45 p.m.,2009-11-14,4:25 a.m.,Dominion VirginiaPower/Dominion North Carolina Power,"Southeastern Virginia, Northeastern North Carolina",SERC,400,"335,000","severe weather, hurricane/tropical storm"
High Winds and Rain,2009,2009-10-13,4:00 p.m.,2009-10-13,10:30 p.m.,Pacific Gas and Electric,Northern California,WECC,350,"859,554","severe weather, wind, rain"
Transmission System Interruption,2009,2009-10-09,6:30 p.m.,2009-10-09,7:10 p.m.,California Department of Water Resources,"Central Valley, CA (Bakersfield, CA)",WECC,180,,transmission interruption
Made Public Appeals,2009,2009-08-31,10:31 a.m.,2009-08-31,12:00 a.m.,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,,,public appeal
Unit Tripped,2009,2009-07-21,5:34 a.m.,2009-07-21,8:43 a.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,136,1,generator trip
Electrical System Separation,2009,2009-06-05,1:38 p.m.,2009-06-05,8:18 p.m.,Pacific Gas and Electric,East of Fresno California,WECC,1,70,islanding
Fuel Supply Deficiency,2009,2009-04-23,12:00 a.m.,,Ongoing,"State of California, Department of Water Resources",Restricted Hydro Electric Capability,WECC,-,-,fuel supply emergency
Substation Load Interruption,2009,2009-04-23,5:54 p.m.,2009-04-23,7:58 p.m.,Southern California Edison Co,"Communities of Elsinore, Hemet, Moreno Valley, Perris, San Jacinto and Temecula in the southeastern area of Riverside County in California",WECC,512,"280,000",load shedding
Unit Shut Down,2009,2009-03-08,10:16 p.m.,2009-03-08,11:45 p.m.,Crockett Cogeneration,"San Francisco Bay Area, California",WECC,150,-,unknown
Ice/Snow Storm,2009,2009-03-01,8:54 p.m.,2009-03-03,4:06 p.m.,Duke Energy Carolinas,Duke Energy Carolinas Balance Authority,SERC,"1,000","180,000","severe weather, winter storm"
High Winds,2009,2009-01-07,5:00 p.m.,2009-01-07,8:05 p.m.,Duke Energy Carolinas,Piedmont of North and South Carolina,SERC,300,"70,000","severe weather, wind"
Load Shedding,2008,2008-12-26,11:40 a.m.,2008-12-26,3:34 p.m.,Sacramento Municipal Utility District,"Orangevale Area of Sacramento, California",WECC,110,"50,000",load shedding
Electrical System Separation,2008,2008-12-19,1:02 a.m.,2008-12-19,6:17 a.m.,Pacific Gas and Electric Company,"East of Oroville, California",WECC,1,638,islanding
Declared Stage 1 Electric Emergency/Made Public Appeal,2008,2008-12-13,3:30 p.m.,2008-12-21,9:17 a.m.,Pacific Gas and Electric Company,Humboldt Area of California,WECC,5,0,public appeal
Load Shedding,2008,2008-11-07,11:15 a.m.,2008-11-07,11:54 a.m.,California ISO,Southern California,WECC,430,"400,000",load shedding
