antecedent,consequent,support,confidence,lift
"('fires_30day_level=High',)","('has_active_fire', 'max_frp_level=High')",0.2095,0.6111,1.8333
"('max_frp_level=High',)","('fires_30day_level=High', 'has_active_fire')",0.2095,0.6286,1.8333
"('fires_30day_level=High', 'has_active_fire')","('max_frp_level=High',)",0.2095,0.6111,1.8333
"('fires_30day_level=High', 'max_frp_level=High')","('has_active_fire',)",0.2095,1.0,1.0881
"('has_active_fire', 'max_frp_level=High')","('fires_30day_level=High',)",0.2095,0.6286,1.8333
"('fires_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')",0.2429,0.7083,2.1558
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('is_wildfire_season',)",0.2429,0.9623,1.9619
"('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')","('fires_30day_level=High',)",0.2429,0.7391,2.1558
"('fires_30day_level=High', 'is_wildfire_season')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2429,0.7286,1.0408
"('fires_7day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')",0.2048,0.6143,2.434
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('fires_7day_level=High',)",0.2048,0.8113,2.434
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')","('fires_30day_level=High',)",0.2048,0.9149,2.6684
"('fires_30day_level=High', 'fires_7day_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2048,0.7167,1.0238
"('fires_30day_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2524,0.7361,1.1121
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('has_active_fire',)",0.2524,1.0,1.0881
"('fires_30day_level=High', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2524,0.7361,1.0516
"('DEMAND.LOSS.MW_level=Medium', 'fires_30day_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.8158,1.1654
"('fires_30day_level=High',)","('fires_7day_level=High', 'is_wildfire_season')",0.2762,0.8056,2.7285
"('fires_7day_level=High',)","('fires_30day_level=High', 'is_wildfire_season')",0.2762,0.8286,2.4857
"('fires_30day_level=High', 'fires_7day_level=High')","('is_wildfire_season',)",0.2762,0.9667,1.9709
