year_month,outage_count,OUTAGE.DURATION,CUSTOMERS.AFFECTED,DEMAND.LOSS.MW,is_high_severity,is_wildfire_related,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2015-03-01,2,196.5,0.0,15.0,0,0,249.0,154.1,0.6188755020080321,23.0,Debris Burning
2015-04-01,2,124.0,40000.0,0.0,1,0,566.0,9404.13,16.615070671378092,4000.0,Missing/Undefined
2015-05-01,1,1.0,0.0,0.0,0,0,690.0,1627.43,2.358594202898551,300.0,Miscellaneous
2015-06-01,6,678.2,403.6666666666667,62.0,0,0,1206.0,80015.48,66.34782752902156,51000.0,Miscellaneous
2015-07-01,5,156.4,19679.5,137.5,1,0,1854.0,509513.4,274.81844660194173,151623.0,Lightning
2015-08-01,0,0.0,0.0,0.0,0,0,930.0,83660.4,89.9574193548387,25156.0,Missing/Undefined
2015-09-01,1,32.0,0.0,150.0,0,0,701.0,152028.37999999998,216.87358059914405,76067.0,Miscellaneous
2015-10-01,2,618.0,55677.0,20938.0,2,0,565.0,2885.36,5.10683185840708,860.0,Miscellaneous
2015-11-01,0,0.0,0.0,0.0,0,0,263.0,571.72,2.1738403041825096,323.0,Debris Burning
2015-12-01,3,29.333333333333332,9956.0,26.5,0,0,111.0,1351.53,12.175945945945946,1288.0,Miscellaneous
2016-01-01,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
2016-02-01,2,223.0,2150.0,3.5,0,0,0.0,0.0,0.0,0.0,0
2016-03-01,1,49427.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
2016-04-01,1,25.0,0.0,360.0,0,0,0.0,0.0,0.0,0.0,0
