year_month,monthly_fire_count,monthly_acres_burned,avg_fire_size,max_fire_size,most_common_cause
2008-06,1938,1099737.24,567.4598761609907,162818.0,Miscellaneous
2008-07,1126,130400.61,115.80871225577265,44452.0,Miscellaneous
2008-08,1095,69680.2,63.63488584474886,47647.0,Miscellaneous
2008-09,751,23555.14,31.36503328894807,11200.0,Miscellaneous
2008-10,593,30871.28,52.05949409780776,14703.0,Miscellaneous
2008-11,197,43806.78,222.36944162436546,30305.0,Miscellaneous
2008-12,67,60.67,0.9055223880597015,15.8,Miscellaneous
2009-01,116,295.38,2.5463793103448276,100.0,Miscellaneous
2009-02,74,1109.3999999999999,14.99189189189189,945.0,Miscellaneous
2009-03,150,276.75,1.845,77.0,Debris Burning
2009-04,436,4495.65,10.311123853211008,3060.0,Miscellaneous
2009-05,796,16500.18,20.728869346733667,8733.0,Miscellaneous
2009-06,1026,12939.55,12.611647173489278,2577.0,Miscellaneous
2009-07,1451,33323.56,22.96592694693315,6130.0,Miscellaneous
2009-08,1258,347230.37,276.0177821939587,160371.0,Miscellaneous
2009-09,830,24710.640000000003,29.77185542168675,17463.0,Miscellaneous
2009-10,461,13809.38,29.95527114967462,7128.0,Miscellaneous
2009-11,249,566.13,2.273614457831325,145.0,Miscellaneous
2009-12,93,93.05,1.000537634408602,32.4,Miscellaneous
2010-01,59,149.51,2.5340677966101692,107.0,Miscellaneous
2010-02,45,8.47,0.18822222222222224,2.5,Missing/Undefined
2010-03,104,300.4,2.8884615384615384,130.0,Miscellaneous
2010-04,127,51.38,0.4045669291338583,2.0,Miscellaneous
2010-05,425,6844.42,16.104517647058824,2044.0,Miscellaneous
2010-06,940,9336.63,9.932585106382978,1600.0,Miscellaneous
2010-07,1424,73566.06,51.66155898876404,16442.0,Miscellaneous
2010-08,1079,14058.27,13.028980537534755,1312.0,Miscellaneous
2010-09,778,13264.72,17.049768637532132,9820.0,Miscellaneous
2010-10,582,2581.8,4.436082474226804,1253.0,Lightning
2010-11,169,729.92,4.319053254437869,156.0,Miscellaneous
2010-12,44,55.459999999999994,1.2604545454545453,35.0,Miscellaneous
2011-01,137,110.74000000000001,0.8083211678832117,38.0,Missing/Undefined
2011-02,155,110.96000000000001,0.7158709677419355,10.0,Missing/Undefined
2011-03,131,1321.98,10.091450381679389,850.0,Missing/Undefined
2011-04,348,774.78,2.2263793103448277,300.0,Missing/Undefined
2011-05,808,6483.57,8.024220297029702,1122.0,Missing/Undefined
2011-06,1098,19169.09,17.45818761384335,5196.0,Missing/Undefined
2011-07,1660,50432.549999999996,30.38105421686747,20500.0,Missing/Undefined
2011-08,1339,25184.600000000002,18.808513816280808,5230.0,Missing/Undefined
2011-09,1493,82314.93,55.1339115874079,25577.0,Lightning
2011-10,550,3213.89,5.843436363636363,2134.2,Missing/Undefined
2011-11,330,1190.09,3.606333333333333,250.0,Missing/Undefined
2011-12,513,1979.74,3.859142300194932,698.0,Miscellaneous
2012-01,407,447.69,1.09997542997543,28.0,Missing/Undefined
2012-02,286,433.38,1.5153146853146853,200.0,Debris Burning
2012-03,287,378.98,1.3204878048780488,80.0,Missing/Undefined
2012-04,277,496.95,1.794043321299639,143.0,Missing/Undefined
2012-05,771,12219.44,15.84881971465629,5132.0,Missing/Undefined
2012-06,1063,16476.87,15.500348071495766,2176.7,Missing/Undefined
2012-07,1280,158454.93,123.79291406249999,75431.0,Missing/Undefined
2012-08,1305,526512.86,403.4581302681992,315578.8,Lightning
2012-09,781,47086.19,60.28961587708067,17944.0,Missing/Undefined
