fire_date,daily_fire_count,daily_acres_burned,avg_fire_size,max_fire_size,avg_lat,avg_lon,fires_7day,fires_30day,acres_7day,acres_30day
1999-08-29,40.0,10958.800000000001,273.97,7200.0,36.3792341315,-119.47802563524999,675.0,1865.0,379972.39999999997,441507.80000000005
1999-08-30,31.0,4611.099999999999,148.74516129032256,1200.0,37.30991845677419,-120.25272885129031,394.0,1851.0,93540.09999999993,446028.1
1999-08-31,30.0,76.6,2.5533333333333332,20.0,37.828507175,-121.06241265666668,365.0,1836.0,88846.09999999993,445998.2
1999-09-01,37.0,23.7,0.6405405405405405,6.0,37.72777910864865,-120.62146584324324,322.0,1836.0,87389.29999999993,445726.70000000007
1999-09-02,21.0,16.0,0.7619047619047619,3.0,37.55935507190476,-120.33378361190476,271.0,1824.0,85821.89999999994,445675.10000000003
1999-09-03,24.0,238.6,9.941666666666666,174.0,38.172924012083335,-120.89705258375,235.0,1790.0,85956.59999999995,440370.2
1999-09-04,29.0,193.2,6.662068965517241,150.0,37.69489382896551,-120.66877539275862,212.0,1779.0,16117.999999999942,440221.30000000005
1999-09-05,34.0,212.0,6.235294117647059,192.0,37.85751114058824,-120.28155617852941,206.0,1732.0,5371.199999999942,440046.10000000003
1999-09-06,32.0,4018.9,125.590625,3930.0,37.242051838125,-119.9081253140625,207.0,1710.0,4778.999999999942,443862.9
1999-09-07,26.0,57.8,2.223076923076923,25.0,38.15639290884615,-120.91531856615384,203.0,1695.0,4760.199999999942,443838.10000000003
1999-09-08,48.0,26729.0,556.8541666666666,23761.0,37.25756436291667,-120.57622278041667,214.0,1700.0,31465.49999999994,469858.60000000003
1999-09-09,108.0,14232.300000000001,131.78055555555557,12960.0,38.21580796046296,-120.84373448268518,301.0,1655.0,45681.799999999945,469452.2
1999-09-10,50.0,342.2,6.843999999999999,282.0,38.242797283200005,-120.545890219,327.0,1660.0,45785.39999999994,469712.60000000003
1999-09-11,31.0,442.7,14.280645161290321,172.0,37.020295268064515,-119.81992737483871,329.0,1658.0,46034.89999999994,469786.1
1999-09-12,36.0,305.5,8.48611111111111,100.0,37.23548894444444,-120.38502308333334,331.0,1640.0,46128.39999999994,469629.0
1999-09-13,23.0,49561.7,2154.85652173913,49551.0,37.99219581956522,-120.67997019826088,322.0,1621.0,91671.19999999995,514720.3
1999-09-14,22.0,152.0,6.909090909090909,97.0,37.756342928636364,-120.22921462863637,318.0,1584.0,91765.39999999994,514770.0
1999-09-15,23.0,39.8,1.7304347826086954,24.0,37.36541681478261,-119.84673791521739,293.0,1576.0,65076.199999999946,514608.7
1999-09-16,34.0,68.4,2.011764705882353,29.0,37.893359780000004,-120.34397379235294,219.0,1564.0,50912.29999999994,514358.2
1999-09-17,37.0,116.2,3.1405405405405404,75.0,37.90739564108108,-120.3660429654054,206.0,1572.0,50686.299999999945,514297.9
1999-09-18,65.0,644.2,9.910769230769231,573.0,37.242773284307695,-119.70592246507692,240.0,1601.0,50887.79999999994,514901.80000000005
1999-09-19,31.0,15.1,0.48709677419354835,3.0,38.20212881677419,-120.35109361161291,235.0,1601.0,50597.399999999936,514833.30000000005
1999-09-20,37.0,45.300000000000004,1.2243243243243245,30.0,38.45310712027027,-120.56987050891891,249.0,1599.0,1080.9999999999418,513513.8
1999-09-21,34.0,25.9,0.7617647058823529,5.0,38.35323954,-120.37282561764705,261.0,1518.0,954.8999999999418,482140.60000000003
1999-09-22,46.0,553.7,12.036956521739132,252.0,39.112710121304346,-121.26668035847827,284.0,1252.0,1468.799999999942,191650.9
